pair,task,kind,method,window,ratio,n,score,actual_budget,budget_std,protocol_version,query_sketch_mode,path,coverage_achieved,coverage_satisfied_layer_ratio,tau,scale
pair1_llama31_same,tipsheets,fairness_evict,ValueNorm/Evict,,0.3,500,0.672,0.321858474,0.0025164399100646006,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_evict/evict_r0.30_0715_1356,nan,nan,,
pair1_llama31_same,tipsheets,fairness_evict,ValueNorm/Evict,,0.35,500,0.732,0.3702170620000003,0.0023834253440999146,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_evict/evict_r0.35_0715_1357,nan,nan,,
pair1_llama31_same,tipsheets,fairness_evict,ValueNorm/Evict,,0.4,500,0.774,0.4187819659999998,0.002379786941854517,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_evict/evict_r0.40_0715_1358,nan,nan,,
pair1_llama31_same,tipsheets,fairness_evict,ValueNorm/Evict,,0.5,500,0.778,0.5155891199999998,0.002970699759268758,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_evict/evict_r0.50_0715_1359,nan,nan,,
pair1_llama31_same,tipsheets,fairness_evict,ValueNorm/Evict,,0.6,500,0.802,0.6124680340000002,0.0023797869418545037,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_evict/evict_r0.60_0715_1400,nan,nan,,
pair1_llama31_same,tipsheets,fairness_random,Random,,0.1,500,0.376,0.13297973200000016,0.006700082917874136,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_random/random_r0.10_0715_1401,nan,nan,,
pair1_llama31_same,tipsheets,fairness_random,Random,,0.15,500,0.51,0.17641095999999995,0.002419793467064178,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_random/random_r0.15_0715_1402,nan,nan,,
pair1_llama31_same,tipsheets,fairness_random,Random,,0.2,500,0.548,0.225098272,0.0023369363296490676,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_random/random_r0.20_0715_1404,nan,nan,,
pair1_llama31_same,tipsheets,fairness_random,Random,,0.25,500,0.596,0.2734495499999996,0.0025942190857423044,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_random/random_r0.25_0715_1405,nan,nan,,
pair1_llama31_same,tipsheets,fairness_random,Random,,0.3,500,0.648,0.321858474,0.0025164399100646006,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_random/random_r0.30_0715_1406,nan,nan,,
pair1_llama31_same,tipsheets,fairness_random,Random,,0.35,500,0.686,0.3702170620000003,0.0023834253440999146,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_random/random_r0.35_0715_1407,nan,nan,,
pair1_llama31_same,tipsheets,fairness_random,Random,,0.4,500,0.758,0.4187819659999998,0.002379786941854517,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_random/random_r0.40_0715_1408,nan,nan,,
pair1_llama31_same,tipsheets,fairness_random,Random,,0.5,500,0.788,0.5155891199999998,0.002970699759268758,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_random/random_r0.50_0715_1409,nan,nan,,
pair1_llama31_same,tipsheets,fairness_random,Random,,0.6,500,0.812,0.6124680340000002,0.0023797869418545037,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_random/random_r0.60_0715_1410,nan,nan,,
pair1_llama31_same,tipsheets,coverage,B-ReKV,8,,500,0.712,0.278143484,0.007375321737470607,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/coverage/cov_t0.95_s0.75_w8_0715_1411,0.9242788059999999,0.0,0.95,0.75
pair1_llama31_same,countries,fairness_rekv,ReKV,8,0.1,200,0.04,0.20856508500000012,0.00828291617302881,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_rekv/rekv_w8_r0.10_0715_1337,nan,nan,,
pair1_llama31_same,countries,fairness_rekv,ReKV,8,0.15,200,0.04,0.20871336500000012,0.007450543824323548,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_rekv/rekv_w8_r0.15_0715_1338,nan,nan,,
pair1_llama31_same,countries,fairness_rekv,ReKV,8,0.2,200,0.455,0.2251524700000002,0.004318429613963131,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_rekv/rekv_w8_r0.20_0715_1339,nan,nan,,
pair1_llama31_same,countries,fairness_rekv,ReKV,8,0.25,200,0.585,0.2736311349999994,0.0046418656898046815,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_rekv/rekv_w8_r0.25_0715_1340,nan,nan,,
pair1_llama31_same,countries,fairness_rekv,ReKV,8,0.3,200,0.605,0.32352516999999986,0.004194313059525531,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_rekv/rekv_w8_r0.30_0715_1341,nan,nan,,
pair1_llama31_same,countries,fairness_rekv,ReKV,8,0.35,200,0.59,0.36954349999999964,0.004070252915233862,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_rekv/rekv_w8_r0.35_0715_1342,nan,nan,,
pair1_llama31_same,countries,fairness_rekv,ReKV,8,0.4,200,0.59,0.4190088500000003,0.004142787822494779,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_rekv/rekv_w8_r0.40_0715_1342,nan,nan,,
pair1_llama31_same,countries,fairness_rekv,ReKV,8,0.5,200,0.59,0.516051925,0.005281976802684349,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_rekv/rekv_w8_r0.50_0715_1343,nan,nan,,
pair1_llama31_same,countries,fairness_rekv,ReKV,8,0.6,200,0.585,0.6122411499999991,0.004142787822494778,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_rekv/rekv_w8_r0.60_0715_1344,nan,nan,,
pair1_llama31_same,countries,fairness_evict,ValueNorm/Evict,,0.1,200,0.04,0.20856508500000012,0.00828291617302881,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_evict/evict_r0.10_0715_1345,nan,nan,,
pair1_llama31_same,countries,fairness_evict,ValueNorm/Evict,,0.15,200,0.04,0.20871336500000012,0.007450543824323548,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_evict/evict_r0.15_0715_1346,nan,nan,,
pair1_llama31_same,countries,fairness_evict,ValueNorm/Evict,,0.2,200,0.34,0.2251524700000002,0.004318429613963131,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_evict/evict_r0.20_0715_1346,nan,nan,,
pair1_llama31_same,countries,fairness_evict,ValueNorm/Evict,,0.25,200,0.58,0.2736311349999994,0.0046418656898046815,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_evict/evict_r0.25_0715_1347,nan,nan,,
pair1_llama31_same,countries,fairness_evict,ValueNorm/Evict,,0.3,200,0.565,0.32352516999999986,0.004194313059525531,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_evict/evict_r0.30_0715_1347,nan,nan,,
pair1_llama31_same,countries,fairness_evict,ValueNorm/Evict,,0.35,200,0.565,0.36954349999999964,0.004070252915233862,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_evict/evict_r0.35_0715_1348,nan,nan,,
pair1_llama31_same,countries,fairness_evict,ValueNorm/Evict,,0.4,200,0.56,0.4190088500000003,0.004142787822494779,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_evict/evict_r0.40_0715_1348,nan,nan,,
pair1_llama31_same,countries,fairness_evict,ValueNorm/Evict,,0.5,200,0.585,0.516051925,0.005281976802684349,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_evict/evict_r0.50_0715_1349,nan,nan,,
pair1_llama31_same,countries,fairness_evict,ValueNorm/Evict,,0.6,200,0.585,0.6122411499999991,0.004142787822494778,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_evict/evict_r0.60_0715_1350,nan,nan,,
pair1_llama31_same,countries,fairness_random,Random,,0.1,200,0.04,0.20856508500000012,0.00828291617302881,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_random/random_r0.10_0715_1350,nan,nan,,
pair1_llama31_same,countries,fairness_random,Random,,0.15,200,0.04,0.20871336500000012,0.007450543824323548,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_random/random_r0.15_0715_1351,nan,nan,,
pair1_llama31_same,countries,fairness_random,Random,,0.2,200,0.115,0.2251524700000002,0.004318429613963131,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_random/random_r0.20_0715_1351,nan,nan,,
pair1_llama31_same,countries,fairness_random,Random,,0.25,200,0.29,0.2736311349999994,0.0046418656898046815,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_random/random_r0.25_0715_1352,nan,nan,,
pair1_llama31_same,countries,fairness_random,Random,,0.3,200,0.42,0.32352516999999986,0.004194313059525531,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_random/random_r0.30_0715_1353,nan,nan,,
pair1_llama31_same,countries,fairness_random,Random,,0.35,200,0.525,0.36954349999999964,0.004070252915233862,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_random/random_r0.35_0715_1353,nan,nan,,
pair1_llama31_same,countries,fairness_random,Random,,0.4,200,0.54,0.4190088500000003,0.004142787822494779,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_random/random_r0.40_0715_1354,nan,nan,,
pair1_llama31_same,countries,fairness_random,Random,,0.5,200,0.605,0.516051925,0.005281976802684349,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_random/random_r0.50_0715_1355,nan,nan,,
pair1_llama31_same,countries,fairness_random,Random,,0.6,200,0.605,0.6122411499999991,0.004142787822494778,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/fairness_random/random_r0.60_0715_1355,nan,nan,,
pair1_llama31_same,countries,coverage,B-ReKV,8,,200,0.615,0.2943774550000002,0.005680821319341636,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/coverage/cov_t0.95_s0.75_w8_0715_1356,0.9146679300000002,0.018709640000000013,0.95,0.75
pair1_llama31_same,hotpotqa,fairness_rekv,ReKV,8,0.1,500,0.182,0.131731468,0.007852367843298534,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_rekv/rekv_w8_r0.10_0715_1356,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_rekv,ReKV,8,0.15,500,0.408,0.17648963400000012,0.0021757624365736253,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_rekv/rekv_w8_r0.15_0715_1401,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_rekv,ReKV,8,0.2,500,0.526,0.22499850799999954,0.002044124704010761,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_rekv/rekv_w8_r0.20_0715_1403,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_rekv,ReKV,8,0.25,500,0.57,0.2736553139999998,0.0022039953726378817,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_rekv/rekv_w8_r0.25_0715_1405,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_rekv,ReKV,8,0.3,500,0.63,0.3219835499999998,0.002114029949825103,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_rekv/rekv_w8_r0.30_0715_1407,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_rekv,ReKV,8,0.35,500,0.65,0.3703660780000002,0.002187033183151188,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_rekv/rekv_w8_r0.35_0715_1408,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_rekv,ReKV,8,0.4,500,0.678,0.4186180339999993,0.0020998723266953253,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_rekv/rekv_w8_r0.40_0715_1410,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_rekv,ReKV,8,0.5,500,0.708,0.5157921900000002,0.0026760725098651738,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_rekv/rekv_w8_r0.50_0715_1412,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_rekv,ReKV,8,0.6,500,0.718,0.6126319660000008,0.002099872326695317,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_rekv/rekv_w8_r0.60_0715_1414,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,,0.1,500,0.146,0.131731468,0.007852367843298534,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.10_0715_1416,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,,0.15,500,0.366,0.17648963400000012,0.0021757624365736253,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.15_0715_1419,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,,0.2,500,0.446,0.22499850799999954,0.002044124704010761,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.20_0715_1421,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,,0.25,500,0.522,0.2736553139999998,0.0022039953726378817,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.25_0715_1423,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,,0.3,500,0.558,0.3219835499999998,0.002114029949825103,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.30_0715_1424,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,,0.35,500,0.606,0.3703660780000002,0.002187033183151188,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.35_0715_1426,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,,0.4,500,0.652,0.4186180339999993,0.0020998723266953253,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.40_0715_1427,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,,0.5,500,0.67,0.5157921900000002,0.0026760725098651738,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.50_0715_1429,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,,0.6,500,0.696,0.6126319660000008,0.002099872326695317,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.60_0715_1430,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_random,Random,,0.1,500,0.086,0.131731468,0.007852367843298534,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.10_0715_1432,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_random,Random,,0.15,500,0.152,0.17648963400000012,0.0021757624365736253,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.15_0715_1436,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_random,Random,,0.2,500,0.264,0.22499850799999954,0.002044124704010761,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.20_0715_1440,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_random,Random,,0.25,500,0.358,0.2736553139999998,0.0022039953726378817,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.25_0715_1444,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_random,Random,,0.3,500,0.434,0.3219835499999998,0.002114029949825103,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.30_0715_1446,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_random,Random,,0.35,500,0.526,0.3703660780000002,0.002187033183151188,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.35_0715_1448,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_random,Random,,0.4,500,0.59,0.4186180339999993,0.0020998723266953253,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.40_0715_1450,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_random,Random,,0.5,500,0.642,0.5157921900000002,0.0026760725098651738,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.50_0715_1452,nan,nan,,
pair1_llama31_same,hotpotqa,fairness_random,Random,,0.6,500,0.682,0.6126319660000008,0.002099872326695317,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.60_0715_1454,nan,nan,,
pair1_llama31_same,hotpotqa,coverage,B-ReKV,8,,500,0.56,0.2754482219999999,0.020190071576426823,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.95_s0.75_w8_0715_1455,0.9248027939999994,0.004709667999999997,0.95,0.75
pair1_llama31_same,qasper,fairness_rekv,ReKV,8,0.1,500,0.178,0.12812297399999986,7.547706206388536e-05,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/qasper/fairness_rekv/rekv_w8_r0.10_0715_1413,nan,nan,,
pair1_llama31_same,qasper,fairness_rekv,ReKV,8,0.15,500,0.224,0.17656631200000011,7.184928179591669e-05,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/qasper/fairness_rekv/rekv_w8_r0.15_0715_1419,nan,nan,,
pair1_llama31_same,qasper,fairness_rekv,ReKV,8,0.2,500,0.27,0.22499488399999942,7.394290805278598e-05,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/qasper/fairness_rekv/rekv_w8_r0.20_0715_1425,nan,nan,,
